tag	chr	start	end	ID	Name	Note
303677	1	306869	308842	Os01g01610	Os01g01610	IscA-like iron-sulfur assembly protein%2C mitochondrial precursor%2C putative%2C expressed
303677	1	309459	313170	Os01g01620	Os01g01620	kinase%2C pfkB family%2C putative%2C expressed
315157	1	319713	322248	Os01g01640	Os01g01640	Rer1 protein%2C putative%2C expressed
315945	1	322556	323948	Os01g01650	Os01g01650	isoflavone reductase homolog IRL%2C putative%2C expressed
325716	1	327128	328451	Os01g01660	Os01g01660	isoflavone reductase%2C putative%2C expressed
328587	1	330238	332345	Os01g01670	Os01g01670	expressed protein
329874	1	332667	333689	Os01g01680	Os01g01680	expressed protein
333631	1	335809	371191	Os01g01689	Os01g01689	phosphatidylinositol 3- and 4-kinase family protein%2C expressed
368331	1	371831	374470	Os01g01700	Os01g01700	anaphase-promoting complex subunit 11%2C putative%2C expressed
370492	1	374728	380716	Os01g01710	Os01g01710	1-deoxy-D-xylulose 5-phosphate reductoisomerase%2C chloroplast precursor%2C putative%2C expressed
378901	1	383047	386701	Os01g01720	Os01g01720	pex14%2C putative%2C expressed
385618	1	390051	390623	Os01g01730	Os01g01730	serine/arginine repetitive matrix protein 2%2C putative%2C expressed
391693	1	392081	396651	Os01g01740	Os01g01740	protein kinase domain containing protein%2C expressed
401728	1	403692	404402	Os01g01760	Os01g01760	expressed protein
401728	1	409700	410818	Os01g01770	Os01g01770	ZOS1-01 - C2H2 zinc finger protein%2C expressed
403513	1	412579	415830	Os01g01780	Os01g01780	exostosin family protein%2C putative%2C expressed
410230	1	416241	420497	Os01g01790	Os01g01790	expressed protein
421326	1	422462	431692	Os01g01800	Os01g01800	expressed protein
427373	1	432435	432752	Os01g01810	Os01g01810	expressed protein
437336	1	437613	449137	Os01g01830	Os01g01830	OsPOP1 - Putative Prolyl Oligopeptidase homologue%2C expressed
449231	1	455512	460716	Os01g01840	Os01g01840	helix-loop-helix DNA-binding domain containing protein%2C expressed
462423	1	478325	481166	Os01g01870	Os01g01870	helix-loop-helix DNA-binding domain containing protein%2C expressed
481027	1	482332	482956	Os01g01880	Os01g01880	expressed protein
481027	1	483885	486492	Os01g01890	Os01g01890	expressed protein
495196	1	496066	497368	Os01g01910	Os01g01910	expressed protein
495883	1	498454	506264	Os01g01920	Os01g01920	HD domain containing protein 2%2C putative%2C expressed
504415	1	507270	509225	Os01g01925	Os01g01925	expressed protein
504415	1	509387	510112	Os01g01930	Os01g01930	expressed protein
510642	1	510752	512159	Os01g01940	Os01g01940	expressed protein
510642	1	512840	513502	Os01g01950	Os01g01950	expressed protein
510642	1	513890	522448	Os01g01960	Os01g01960	transcriptional repressor%2C putative%2C expressed
521927	1	524579	528002	Os01g01970	Os01g01970	expressed protein
525950	1	529367	530008	Os01g01980	Os01g01980	expressed protein
528342	1	533786	534139	Os01g01990	Os01g01990	expressed protein
534280	1	537710	543355	Os01g02000	Os01g02000	phosphate transporter 1%2C putative%2C expressed
539996	1	542987	544510	Os01g02010	Os01g02010	expressed protein
542158	1	549108	553287	Os01g02020	Os01g02020	acetyl-CoA acetyltransferase%2C cytosolic%2C putative%2C expressed
560448	1	562056	572138	Os01g02050	Os01g02050	phosphoenolpyruvate carboxylase%2C putative%2C expressed
574473	1	576443	579569	Os01g02060	Os01g02060	TOO MANY MOUTHS precursor%2C putative%2C expressed
581739	1	585963	586445	Os01g02070	Os01g02070	invertase/pectin methylesterase inhibitor family protein%2C putative%2C expressed
581739	1	586414	587780	Os01g02080	Os01g02080	peptidyl-prolyl cis-trans isomerase%2C putative%2C expressed
584186	1	588863	593759	Os01g02090	Os01g02090	expressed protein
600157	1	603643	605643	Os01g02110	Os01g02110	helix-loop-helix DNA-binding domain containing protein%2C expressed
605634	1	612564	615650	Os01g02120	Os01g02120	osMFT2  MFT-Like2 homologous to Mother of FT and TFL1  gene%3B contains Pfam profile PF01161: Phosphatidylethanolamine-binding protein%2C expressed
609381	1	620572	621516	Os01g02130	Os01g02130	expressed protein
614629	1	624087	624613	Os01g02139	Os01g02139	expressed protein
624285	1	625976	627024	Os01g02150	Os01g02150	sulfated surface glycoprotein 185 precursor%2C putative%2C expressed
629410	1	632093	632913	Os01g02160	Os01g02160	hydroxyproline-rich glycoprotein family protein%2C putative%2C expressed
629410	1	634011	639309	Os01g02170	Os01g02170	expressed protein
637521	1	640588	644269	Os01g02180	Os01g02180	expressed protein
637521	1	645574	646723	Os01g02190	Os01g02190	aquaporin protein%2C putative%2C expressed
645746	1	648128	651881	Os01g02200	Os01g02200	armadillo/beta-catenin repeat family protein%2C putative%2C expressed
672832	1	689792	694013	Os01g02250	Os01g02250	RGA-1%2C putative%2C expressed
672832	1	700533	705670	Os01g02270	Os01g02270	expressed protein
672832	1	707340	714322	Os01g02280	Os01g02280	Leucine Rich Repeat family protein%2C expressed
715226	1	720629	723317	Os01g02290	Os01g02290	Ser/Thr receptor-like kinase%2C putative%2C expressed
722415	1	723693	726321	Os01g02300	Os01g02300	receptor kinase ORK10%2C putative%2C expressed
722415	1	728977	730930	Os01g02310	Os01g02310	expressed protein
729840	1	731149	738020	Os01g02320	Os01g02320	protein kinase domain containing protein%2C expressed
731014	1	738281	741794	Os01g02334	Os01g02334	expressed protein
738879	1	742272	745156	Os01g02350	Os01g02350	receptor-like kinase ARK1AS%2C putative%2C expressed
744685	1	745452	748945	Os01g02360	Os01g02360	resistance-related receptor-like kinase%2C putative%2C expressed
749451	1	752080	754992	Os01g02370	Os01g02370	receptor-like kinase ARK1AS%2C putative%2C expressed
749451	1	767169	769681	Os01g02390	Os01g02390	protein kinase domain containing protein%2C expressed
749451	1	770332	773851	Os01g02400	Os01g02400	protein kinase domain containing protein%2C expressed
749451	1	774727	779237	Os01g02410	Os01g02410	protein kinase domain containing protein%2C expressed
749451	1	781442	784424	Os01g02420	Os01g02420	protein kinase domain containing protein%2C expressed
749451	1	786171	788619	Os01g02430	Os01g02430	TAK14%2C putative%2C expressed
749451	1	789967	792411	Os01g02440	Os01g02440	Ser/Thr receptor-like kinase%2C putative%2C expressed
749451	1	794499	795413	Os01g02460	Os01g02460	receptor kinase LRK10%2C putative%2C expressed
749451	1	796842	797533	Os01g02470	Os01g02470	expressed protein
749451	1	804084	806932	Os01g02490	Os01g02490	expressed protein
749451	1	807850	809721	Os01g02500	Os01g02500	glutamyl-tRNA amidotransferase%2C putative%2C expressed
749451	1	839809	842757	Os01g02550	Os01g02550	protein kinase domain containing protein%2C expressed
749451	1	843530	847454	Os01g02560	Os01g02560	Ser/Thr receptor-like kinase%2C putative%2C expressed
749451	1	852249	854568	Os01g02570	Os01g02570	protein kinase domain containing protein%2C expressed
857429	1	857957	860583	Os01g02580	Os01g02580	protein kinase domain containing protein%2C expressed
857429	1	862579	865253	Os01g02590	Os01g02590	receptor-like kinase%2C putative%2C expressed
857429	1	865966	869063	Os01g02600	Os01g02600	Ser/Thr receptor-like kinase%2C putative%2C expressed
857429	1	870318	874817	Os01g02610	Os01g02610	protein kinase domain containing protein%2C expressed
857429	1	911735	914246	Os01g02680	Os01g02680	protein kinase domain containing protein%2C expressed
857429	1	915639	919674	Os01g02690	Os01g02690	resistance-related receptor-like kinase%2C putative%2C expressed
857429	1	920992	923630	Os01g02700	Os01g02700	protein kinase domain containing protein%2C expressed
923212	1	924451	925175	Os01g02710	Os01g02710	LRk-type protein%2C putative%2C expressed
927624	1	929883	934914	Os01g02720	Os01g02720	elongation factor Tu%2C putative%2C expressed
931903	1	935574	938367	Os01g02730	Os01g02730	TAK14%2C putative%2C expressed
936681	1	954075	956817	Os01g02750	Os01g02750	protein kinase domain containing protein%2C expressed
936681	1	957907	960626	Os01g02760	Os01g02760	receptor-like kinase%2C putative%2C expressed
959402	1	961681	965151	Os01g02770	Os01g02770	resistance-related receptor-like kinase%2C putative%2C expressed
959402	1	969308	973327	Os01g02780	Os01g02780	TAK33%2C putative%2C expressed
959402	1	976766	980431	Os01g02790	Os01g02790	protein kinase domain containing protein%2C expressed
959402	1	984301	986760	Os01g02800	Os01g02800	receptor-like kinase ARK1AS%2C putative%2C expressed
959402	1	987591	990647	Os01g02810	Os01g02810	resistance-related receptor-like kinase%2C putative%2C expressed
959402	1	994710	997262	Os01g02830	Os01g02830	receptor-like kinase ARK1AS%2C putative%2C expressed
959402	1	997963	1000997	Os01g02840	Os01g02840	resistance-related receptor-like kinase%2C putative%2C expressed
959402	1	1001292	1001770	Os01g02850	Os01g02850	expressed protein
959402	1	1002459	1007068	Os01g02860	Os01g02860	expressed protein
1005094	1	1010259	1012410	Os01g02870	Os01g02870	auxin-induced protein 5NG4%2C putative%2C expressed
1012085	1	1016065	1019545	Os01g02880	Os01g02880	fructose-bisphospate aldolase isozyme%2C putative%2C expressed
1043576	1	1046604	1053166	Os01g02890	Os01g02890	phosphatidylserine synthase%2C putative%2C expressed
1051943	1	1057137	1059856	Os01g02900	Os01g02900	glycosyltransferase%2C putative%2C expressed
1058441	1	1066448	1069826	Os01g02910	Os01g02910	glycosyltransferase%2C putative%2C expressed
1062832	1	1071962	1075030	Os01g02920	Os01g02920	glycosyltransferase protein%2C putative%2C expressed
1073692	1	1078511	1081702	Os01g02930	Os01g02930	glycosyltransferase protein%2C putative%2C expressed
1085054	1	1089743	1093528	Os01g02940	Os01g02940	glycosyltransferase protein%2C putative%2C expressed
1093179	1	1097580	1098942	Os01g02950	Os01g02950	expressed protein
1097541	1	1103782	1106890	Os01g02960	Os01g02960	expressed protein
1118331	1	1120319	1126749	Os01g02980	Os01g02980	expressed protein
1131489	1	1137241	1137624	Os01g02990	Os01g02990	expressed protein
1141907	1	1143557	1144497	Os01g03010	Os01g03010	expressed protein
1143239	1	1145829	1155094	Os01g03020	Os01g03020	tRNA synthetase class I%2C putative%2C expressed
1152298	1	1155213	1158601	Os01g03030	Os01g03030	alanyl-tRNA synthetase%2C putative%2C expressed
1157584	1	1160152	1164635	Os01g03040	Os01g03040	expressed protein
1163162	1	1165737	1168415	Os01g03050	Os01g03050	fruit protein PKIWI502%2C putative%2C expressed
1165022	1	1168647	1171130	Os01g03060	Os01g03060	splicing factor%2C putative%2C expressed
1180692	1	1181158	1182158	Os01g03080	Os01g03080	expressed protein
1180692	1	1183394	1186707	Os01g03090	Os01g03090	methyltransferase%2C putative%2C expressed
1185371	1	1186260	1191013	Os01g03100	Os01g03100	protein binding protein%2C putative%2C expressed
1195782	1	1198687	1203506	Os01g03110	Os01g03110	expressed protein
1214273	1	1217006	1218122	Os01g03130	Os01g03130	expressed protein
1220058	1	1222905	1230507	Os01g03144	Os01g03144	white-brown complex homolog protein 7%2C putative%2C expressed
1227047	1	1232473	1236942	Os01g03160	Os01g03160	xylosyltransferase%2C putative%2C expressed
1236136	1	1238623	1242351	Os01g03170	Os01g03170	seven in absentia protein family protein%2C expressed
1243102	1	1254028	1255635	Os01g03190	Os01g03190	expressed protein
1254318	1	1264356	1265273	Os01g03210	Os01g03210	expressed protein
1254318	1	1301527	1302921	Os01g03220	Os01g03220	expressed protein
1254318	1	1313236	1314274	Os01g03240	Os01g03240	conserved hypothetical protein
1254318	1	1315268	1315477	Os01g03250	Os01g03250	hypothetical protein
1254318	1	1315823	1319863	Os01g03260	Os01g03260	expressed protein
1254318	1	1328172	1329169	Os01g03270	Os01g03270	expressed protein
1254318	1	1330804	1332398	Os01g03280	Os01g03280	hypothetical protein
1254318	1	1333752	1334739	Os01g03290	Os01g03290	seven in absentia protein family domain containing protein%2C expressed
1254318	1	1335864	1337407	Os01g03300	Os01g03300	seven in absentia protein family protein%2C expressed
1254318	1	1338229	1339139	Os01g03310	Os01g03310	BBTI1 - Bowman-Birk type bran trypsin inhibitor precursor%2C expressed
1254318	1	1341319	1342277	Os01g03320	Os01g03320	BBTI2 - Bowman-Birk type bran trypsin inhibitor precursor%2C expressed
1254318	1	1344557	1346419	Os01g03330	Os01g03330	BBTI3 - Bowman-Birk type bran trypsin inhibitor precursor%2C expressed
1254318	1	1347567	1348786	Os01g03340	Os01g03340	BBTI4 - Bowman-Birk type bran trypsin inhibitor precursor%2C expressed
1254318	1	1350820	1351107	Os01g03350	Os01g03350	expressed protein
1254318	1	1353629	1354802	Os01g03360	Os01g03360	BBTI5 - Bowman-Birk type bran trypsin inhibitor precursor%2C expressed
1354224	1	1356601	1361257	Os01g03370	Os01g03370	senescence-induced receptor-like serine/threonine-protein kinase precursor%2C putative%2C expressed
1359581	1	1363516	1364303	Os01g03380	Os01g03380	BBTI6 - Bowman-Birk type bran trypsin inhibitor precursor%2C putative%2C expressed
1360628	1	1365508	1366503	Os01g03390	Os01g03390	BBTI7 - Bowman-Birk type bran trypsin inhibitor precursor%2C expressed
1367598	1	1368891	1369792	Os01g03400	Os01g03400	E3 ubiquitin-protein ligase SINA-like 2%2C putative
1368721	1	1372963	1374138	Os01g03410	Os01g03410	ubiquitin%2C putative%2C expressed
1373670	1	1375169	1377242	Os01g03420	Os01g03420	seven in absentia protein family protein%2C putative%2C expressed
1373670	1	1379691	1382143	Os01g03429	Os01g03429	expressed protein
1373670	1	1395980	1396769	Os01g03464	Os01g03464	expressed protein
1398377	1	1401504	1403598	Os01g03480	Os01g03480	expressed protein
1398377	1	1404155	1407187	Os01g03490	Os01g03490	heavy-metal-associated domain-containing protein%2C putative%2C expressed
1405841	1	1410987	1413093	Os01g03500	Os01g03500	expressed protein
1411144	1	1413839	1419043	Os01g03510	Os01g03510	WD domain%2C G-beta repeat domain containing protein%2C expressed
1421280	1	1421693	1428049	Os01g03520	Os01g03520	ubiquitin conjugating enzyme protein%2C putative%2C expressed
1428497	1	1433033	1436811	Os01g03530	Os01g03530	multicopper oxidase domain containing protein%2C expressed
1434908	1	1437163	1445689	Os01g03549	Os01g03549	multi-copper oxidase type I family protein%2C putative%2C expressed
1444290	1	1446849	1450473	Os01g03570	Os01g03570	transcription factor X1%2C putative%2C expressed
1447910	1	1486400	1488897	Os01g03620	Os01g03620	multicopper oxidase domain containing protein%2C expressed
1488187	1	1490473	1492684	Os01g03630	Os01g03630	multicopper oxidase domain containing protein%2C expressed
1491738	1	1497240	1500609	Os01g03640	Os01g03640	multicopper oxidase domain containing protein%2C expressed
1497572	1	1503993	1508057	Os01g03650	Os01g03650	sufB/sufD domain containing protein%2C putative%2C expressed
1504180	1	1508235	1512752	Os01g03660	Os01g03660	MYB family transcription factor%2C putative%2C expressed
1508835	1	1513136	1514467	Os01g03670	Os01g03670	dihydroflavonol-4-reductase%2C putative%2C expressed
1510920	1	1515837	1516832	Os01g03680	Os01g03680	BBTI8 - Bowman-Birk type bran trypsin inhibitor precursor%2C expressed
1513584	1	1518245	1521644	Os01g03690	Os01g03690	TKL_IRAK_DUF26-lg.1 - DUF26 kinases have homology to DUF26 containing loci%2C expressed
1523887	1	1534135	1539627	Os01g03710	Os01g03710	mannose-6-phosphate isomerase%2C putative%2C expressed
1547957	1	1549229	1551011	Os01g03720	Os01g03720	MYB family transcription factor%2C putative%2C expressed
1555576	1	1562612	1566554	Os01g03740	Os01g03740	nuclease PA3%2C putative%2C expressed
1558911	1	1566138	1569472	Os01g03730	Os01g03730	nuclease PA3%2C putative%2C expressed
1563867	1	1569585	1570939	Os01g03750	Os01g03750	expressed protein
1570383	1	1571420	1576753	Os01g03760	Os01g03760	expressed protein
1577869	1	1580843	1582345	Os01g03770	Os01g03770	hypothetical protein
1596153	1	1597486	1598510	Os01g03810	Os01g03810	expressed protein
1596153	1	1597486	1604610	Os01g03820	Os01g03820	C2 domain containing protein%2C putative%2C expressed
1620967	1	1625159	1626771	Os01g03840	Os01g03840	ZOS1-02 - C2H2 zinc finger protein%2C expressed
1640685	1	1641234	1644237	Os01g03870	Os01g03870	expressed protein
1648367	1	1657315	1658388	Os01g03890	Os01g03890	DUF260 domain containing protein%2C putative%2C expressed
1665477	1	1670322	1670997	Os01g03900	Os01g03900	expressed protein
1671488	1	1673010	1680632	Os01g03914	Os01g03914	cation efflux family protein%2C putative%2C expressed
1679472	1	1681410	1681813	Os01g03930	Os01g03930	expressed protein
1681195	1	1684741	1685880	Os01g03940	Os01g03940	expressed protein
1696619	1	1698203	1703090	Os01g03950	Os01g03950	glycosyl hydrolase%2C family 31%2C putative%2C expressed
1704953	1	1707539	1707939	Os01g03960	Os01g03960	expressed protein
1704953	1	1710239	1710550	Os01g03970	Os01g03970	expressed protein
1710969	1	1711930	1712947	Os01g03980	Os01g03980	expressed protein
1714876	1	1718965	1719370	Os01g03989	Os01g03989	expressed protein
1727707	1	1731553	1731945	Os01g04000	Os01g04000	hypothetical protein
1729729	1	1733867	1738307	Os01g04005	Os01g04005	expressed protein
1736117	1	1738965	1739492	Os01g04010	Os01g04010	expressed protein
1743814	1	1746416	1748549	Os01g04020	Os01g04020	AP2 domain containing protein%2C expressed
1752522	1	1754332	1757728	Os01g04030	Os01g04030	signal peptidase complex subunit 3%2C putative%2C expressed
1755535	1	1757812	1758730	Os01g04040	Os01g04040	BBTI11 - Bowman-Birk type bran trypsin inhibitor precursor%2C putative%2C expressed
1757105	1	1760140	1761135	Os01g04050	Os01g04050	BBTI12 - Bowman-Birk type bran trypsin inhibitor precursor%2C expressed
1764743	1	1765034	1768669	Os01g04070	Os01g04070	verticillium wilt disease resistance protein%2C putative%2C expressed
1770084	1	1771369	1772410	Os01g04080	Os01g04080	expressed protein
1772550	1	1775917	1778105	Os01g04090	Os01g04090	expressed protein
1777373	1	1781075	1782386	Os01g04100	Os01g04100	expressed protein
1783971	1	1787870	1791498	Os01g04110	Os01g04110	mediator of RNA polymerase II transcription subunit 22%2C putative%2C expressed
1795941	1	1801924	1806267	Os01g04120	Os01g04120	ZOS1-03 - C2H2 zinc finger protein%2C expressed
1815201	1	1815769	1817554	Os01g04130	Os01g04130	peptidyl-tRNA hydrolase%2C mitochondrial precursor protein%2C putative%2C expressed
1821411	1	1834110	1837733	Os01g04160	Os01g04160	expressed protein
1821411	1	1838170	1839194	Os01g04170	Os01g04170	expressed protein
1840685	1	1843814	1849186	Os01g04190	Os01g04190	transporter family protein%2C putative%2C expressed
1847652	1	1849834	1856303	Os01g04200	Os01g04200	metallo-beta-lactamase family protein%2C putative%2C expressed
1849635	1	1857104	1858452	Os01g04210	Os01g04210	DNA binding protein%2C putative%2C expressed
1861408	1	1864478	1866109	Os01g04220	Os01g04220	DNA binding protein%2C putative%2C expressed
1862351	1	1867936	1870390	Os01g04230	Os01g04230	inactive receptor kinase At2g26730 precursor%2C putative%2C expressed
1874521	1	1876913	1879903	Os01g04250	Os01g04250	expressed protein
1885682	1	1888524	1892298	Os01g04260	Os01g04260	fatty acid hydroxylase%2C putative%2C expressed
1891199	1	1897077	1897316	Os01g04270	Os01g04270	hypothetical protein
1900872	1	1902736	1905247	Os01g04280	Os01g04280	calmodulin binding protein%2C putative%2C expressed
1903459	1	1906978	1909667	Os01g04290	Os01g04290	glycosyl hydrolase family 10 protein%2C putative%2C expressed
1911360	1	1912561	1915094	Os01g04300	Os01g04300	glycosyl hydrolase family 10 protein%2C putative%2C expressed
1914543	1	1928166	1930290	Os01g04324	Os01g04324	expressed protein
1914543	1	1930994	1931904	Os01g04330	Os01g04330	OsCML16 - Calmodulin-related calcium sensor protein%2C expressed
1926340	1	1934117	1935048	Os01g04340	Os01g04340	hsp20/alpha crystallin family protein%2C putative%2C expressed
1936440	1	1941003	1941953	Os01g04350	Os01g04350	hsp20/alpha crystallin family protein%2C putative%2C expressed
1938667	1	1944247	1945035	Os01g04360	Os01g04360	hsp20/alpha crystallin family protein%2C putative%2C expressed
1946042	1	1948737	1949587	Os01g04370	Os01g04370	hsp20/alpha crystallin family protein%2C putative%2C expressed
1951364	1	1951928	1952771	Os01g04380	Os01g04380	hsp20/alpha crystallin family protein%2C putative%2C expressed
1951364	1	1955148	1955925	Os01g04390	Os01g04390	expressed protein
1952978	1	1957777	1967451	Os01g04409	Os01g04409	OsWAK1 - OsWAK receptor-like cytoplasmic kinase OsWAK-RLCK%2C expressed
1966669	1	1968323	1970538	Os01g04430	Os01g04430	expressed protein
1968745	1	1973699	1977191	Os01g04440	Os01g04440	expressed protein
1974966	1	1977423	1982484	Os01g04450	Os01g04450	OsWAK2 - OsWAK receptor-like cytoplasmic kinase OsWAK-RLCK%2C expressed
1981744	1	1984267	1986394	Os01g04460	Os01g04460	Ser/Thr protein kinase%2C putative%2C expressed
1984569	1	1988731	1991248	Os01g04470	Os01g04470	expressed protein
1985677	1	1993515	1996857	Os01g04480	Os01g04480	expressed protein
1996573	1	1998427	2002855	Os01g04490	Os01g04490	Ser/Thr protein kinase%2C putative%2C expressed
2001807	1	2003219	2003916	Os01g04500	Os01g04500	expressed protein
2001807	1	2006152	2007254	Os01g04510	Os01g04510	expressed protein
2001807	1	2014821	2018057	Os01g04520	Os01g04520	Ser/Thr protein kinase%2C putative%2C expressed
2001807	1	2021415	2022167	Os01g04530	Os01g04530	expressed protein
2023317	1	2023879	2026177	Os01g04540	Os01g04540	serine/threonine-protein kinase At1g18390 precursor%2C putative%2C expressed
2023317	1	2036118	2038198	Os01g04550	Os01g04550	expressed protein
2023317	1	2041300	2042770	Os01g04560	Os01g04560	expressed protein
2042106	1	2048717	2052521	Os01g04570	Os01g04570	Ser/Thr protein kinase%2C putative%2C expressed
2051829	1	2053583	2057638	Os01g04580	Os01g04580	Ser/Thr protein kinase%2C putative%2C expressed
2056802	1	2059309	2062277	Os01g04590	Os01g04590	expressed protein
2059572	1	2063612	2066083	Os01g04600	Os01g04600	expressed protein
2067062	1	2068588	2069263	Os01g04610	Os01g04610	hypothetical protein
2071033	1	2074753	2077903	Os01g04630	Os01g04630	muconate cycloisomerase%2C putative%2C expressed
2076392	1	2080105	2081540	Os01g04640	Os01g04640	reticulon domain containing protein%2C putative%2C expressed
2076392	1	2083681	2087226	Os01g04650	Os01g04650	PB1 domain containing protein%2C expressed
2092942	1	2097192	2100694	Os01g04660	Os01g04660	lipid phosphatase protein%2C putative%2C expressed
2098705	1	2101874	2102672	Os01g04670	Os01g04670	expressed protein
2105225	1	2108947	2109635	Os01g04690	Os01g04690	expressed protein
2105225	1	2111026	2111651	Os01g04699	Os01g04699	expressed protein
2116258	1	2120381	2122366	Os01g04710	Os01g04710	aspartic proteinase%2C putative%2C expressed
2121761	1	2130798	2137310	Os01g04720	Os01g04720	leucine-rich repeat protein-related%2C putative%2C expressed
2132731	1	2137763	2138996	Os01g04730	Os01g04730	ribosomal protein L24%2C putative%2C expressed
2138274	1	2140865	2142091	Os01g04740	Os01g04740	hypothetical protein
2150893	1	2154326	2155994	Os01g04750	Os01g04750	B3 DNA binding domain containing protein%2C expressed
2160489	1	2162723	2162971	Os01g04760	Os01g04760	hypothetical protein
2176340	1	2202264	2203860	Os01g04800	Os01g04800	B3 DNA binding domain containing protein%2C expressed
2211971	1	2215586	2222837	Os01g04814	Os01g04814	vacuolar protein sorting-associating protein 4B%2C putative%2C expressed
2221819	1	2224683	2225060	Os01g04830	Os01g04830	expressed protein
2221819	1	2226000	2229526	Os01g04840	Os01g04840	vacuolar protein sorting-associating protein 4B%2C putative%2C expressed
2242614	1	2245732	2250576	Os01g04860	Os01g04860	DUF647 domain containing protein%2C putative%2C expressed
2247368	1	2250820	2255073	Os01g04870	Os01g04870	WD domain%2C G-beta repeat domain containing protein%2C expressed
2264402	1	2265477	2271051	Os01g04900	Os01g04900	peptidase M50 family protein%2C putative%2C expressed
2268538	1	2271163	2273757	Os01g04910	Os01g04910	TP53RK-binding protein%2C putative%2C expressed
2273671	1	2275067	2278872	Os01g04920	Os01g04920	glycosyl transferase%2C group 1 domain containing protein%2C expressed
2276971	1	2281534	2285053	Os01g04930	Os01g04930	MYB family transcription factor%2C putative%2C expressed
2288387	1	2292111	2298407	Os01g04950	Os01g04950	peptide transporter PTR2%2C putative%2C expressed
2327680	1	2328624	2328856	Os01g04970	Os01g04970	hypothetical protein
2345145	1	2349919	2353502	Os01g04990	Os01g04990	mitochondrial carrier protein%2C putative%2C expressed
2352379	1	2356183	2357045	Os01g05000	Os01g05000	expressed protein
2355421	1	2357769	2360444	Os01g05010	Os01g05010	mitochondrial glycoprotein%2C putative%2C expressed
