chrom	start	end	cluster	label
1	1768321	1771431	1	3
1	1770084	1773069	1	3
1	1771459	1774818	1	3
1	1773074	1777243	1	3
1	1774826	1779294	1	3
1	1779361	1784840	1	3
1	1779361	1784840	6	1
1	1780517	1786161	1	3
1	1786175	1789579	1	9
1	1786175	1789579	6	1
1	1787833	1791929	1	9
1	1787833	1791929	5	1
1	1789630	1794612	1	9
1	1789630	1794612	6	1
1	1791946	1797832	1	9
1	1791946	1797832	9	1
1	1795941	1800480	1	9
1	1795941	1800480	3	7
1	1797853	1804601	1	9
1	1800481	1808499	1	9
1	1804645	1810467	1	3
1	1804645	1810467	5	1
1	1810468	1817122	1	3
1	1810468	1817122	7	1
1	1813058	1821405	1	9
1	1813058	1821405	6	1
1	1817147	1832593	1	9
1	1821411	1836808	1	9
1	1832614	1839043	1	9
1	1836811	1840684	1	9
1	1839138	1842077	1	9
1	1840685	1843449	1	9
1	1840685	1843449	6	1
1	1840685	1843449	7	1
1	1842080	1845677	1	9
1	1843450	1847649	1	9
1	1845829	1849297	1	9
1	1845829	1849297	5	1
1	1845829	1849297	6	1
1	1847652	1851368	1	9
1	1847652	1851368	6	1
1	1849311	1854899	1	9
1	1851503	1858075	1	9
1	1854940	1861179	1	9
1	1858086	1861802	1	9
1	1861183	1862595	1	9
1	1861804	1865854	1	9
1	1862601	1868289	1	9
1	1865856	1870136	1	3
1	1868295	1871564	1	9
1	1868295	1871564	4	7
1	1870159	1874404	1	9
1	1871586	1875699	1	9
1	1874521	1877166	1	9
1	1875706	1877773	1	0
1	1875706	1877773	5	9
1	1875706	1877773	9	1
1	1877168	1878402	1	9
1	1877168	1878402	4	9
1	1877854	1879628	1	9
1	1877854	1879628	4	9
1	1878557	1884936	1	9
1	1879685	1886327	1	9
1	1884938	1888166	1	9
1	1884938	1888166	6	1
1	1886348	1890551	1	9
1	1886348	1890551	6	1
1	1888174	1891857	1	9
1	1888174	1891857	7	1
1	1890586	1894472	1	9
1	1890586	1894472	6	1
1	1891858	1897282	1	9
1	1894483	1898889	1	9
1	1897296	1902145	1	9
1	1897296	1902145	3	7
1	1899012	1904065	1	9
1	1902153	1905878	1	9
1	1904095	1907290	0	6
1	1905884	1907872	1	9
1	1907879	1911316	1	9
1	1909656	1912163	1	3
1	1911360	1913179	1	3
1	1912185	1913714	2	9
1	1913186	1914528	1	9
1	1913726	1915834	1	9
1	1914543	1931335	1	9
1	1915945	1934191	1	9
1	1915945	1934191	5	1
1	1931351	1936439	0	9
1	1934243	1938153	1	9
1	1936440	1940849	1	9
1	1938163	1942134	1	9
1	1940850	1944493	1	9
1	1942136	1945496	1	9
1	1944503	1946720	1	9
1	1945506	1948086	1	9
1	1946926	1949562	1	9
1	1948096	1951126	1	9
1	1949591	1952292	1	9
1	1951131	1953279	1	9
1	1952298	1955213	1	3
1	1952298	1955213	5	7
1	1953285	1957742	1	3
1	1953285	1957742	5	7
1	1955265	1958700	1	9
1	1955265	1958700	2	5
1	1957838	1962020	1	3
1	1958986	1966401	1	5
1	1958986	1966401	2	3
1	1962780	1968195	1	5
1	1962780	1968195	2	3
1	1966669	1971242	1	5
1	1966669	1971242	2	3
1	1968196	1973754	1	1
1	1968196	1973754	2	3
1	1971289	1974772	1	1
1	1973973	1976502	1	1
1	1973973	1976502	2	3
1	1974966	1977168	1	5
1	1974966	1977168	2	3
1	1976504	1978224	1	5
1	1976504	1978224	2	3
1	1977182	1979496	1	3
1	1978230	1981258	0	6
1	1978230	1981258	1	9
1	1980403	1982108	1	3
1	1980403	1982108	3	4
1	1981473	1983117	1	3
1	1981473	1983117	2	1
1	1981473	1983117	3	1
1	1982130	1984557	1	1
1	1982130	1984557	2	9
1	1983121	1985332	1	1
1	1983121	1985332	2	9
1	1984563	1986278	4	1
1	1985365	1993544	3	1
1	1986424	1996319	3	1
1	1993817	1998811	1	9
1	1993817	1998811	2	1
1	1996573	2001961	1	9
1	1996573	2001961	3	1
1	1998941	2002433	3	1
1	2002301	2022999	3	1
1	2022221	2038465	2	1
1	2023317	2043008	2	1
1	2038756	2050971	2	1
1	2043306	2051756	2	1
1	2043306	2051756	4	1
1	2043306	2051756	5	1
1	2051202	2052740	3	1
1	2051202	2052740	5	1
1	2051829	2053755	2	1
1	2052744	2055801	3	1
1	2053805	2056801	3	1
1	2055820	2058933	5	1
1	2056802	2060660	4	1
1	2058937	2062793	2	5
1	2060665	2064979	3	5
1	2060665	2064979	4	1
1	2062816	2066624	3	1
1	2064986	2067417	1	9
1	2066660	2068632	1	9
1	2067436	2069456	3	1
1	2067436	2069456	7	1
1	2069470	2072232	1	9
1	2070697	2072888	1	2
1	2072235	2074820	3	2
1	2072899	2076107	2	2
1	2072899	2076107	3	5
1	2074846	2078236	1	9
1	2074846	2078236	3	2
1	2076110	2080696	2	2
1	2076110	2080696	4	5
1	2078247	2084008	2	2
1	2081011	2086254	1	0
1	2084017	2088057	1	0
1	2086257	2089447	1	0
1	2086257	2089447	4	1
1	2089449	2094398	1	0
1	2092942	2097504	1	0
1	2094413	2099090	0	0
1	2097507	2100253	0	0
1	2099124	2102730	2	3
1	2100262	2103904	0	0
1	2102750	2106030	0	0
1	2102750	2106030	3	1
1	2103916	2108532	2	1
1	2106035	2113371	2	1
1	2108546	2114545	1	7
1	2114576	2119667	1	7
1	2117212	2121472	2	7
1	2129873	2132545	4	1
1	2132020	2134476	3	3
1	2132020	2134476	7	1
1	2132548	2136587	2	3
1	2132548	2136587	4	1
1	2134790	2138247	2	1
1	2136652	2140125	3	9
1	2138274	2144905	0	3
1	2142267	2146006	0	3
1	2144918	2148951	2	9
1	2146015	2150342	0	9
1	2148955	2151898	0	9
1	2150345	2155219	3	9
1	2151920	2157123	3	9
1	2155239	2159798	0	9
1	2159805	2162213	2	9
1	2161330	2163105	1	9
1	2162232	2164207	0	9
1	2163127	2167348	0	9
1	2164338	2168229	1	9
1	2168251	2171895	0	8
1	2168251	2171895	2	9
1	2170313	2173422	0	8
1	2170313	2173422	3	3
1	2171931	2175189	3	3
1	2173427	2176333	5	3
1	2175211	2178532	0	9
1	2176340	2204553	1	9
1	2178559	2209128	2	9
1	2204565	2211966	1	3
1	2209131	2213534	1	3
1	2211971	2215364	3	3
1	2215389	2221702	1	9
1	2215389	2221702	4	3
1	2217656	2223874	1	9
1	2217656	2223874	3	3
1	2221819	2225449	3	3
1	2223875	2226520	2	3
1	2225495	2227926	1	9
1	2225495	2227926	2	3
1	2226523	2229563	1	3
1	2226523	2229563	3	3
1	2227936	2231482	1	3
1	2229568	2239338	2	3
1	2231484	2240708	2	3
1	2231484	2240708	3	3
1	2231484	2240708	4	1
1	2239343	2242104	1	3
1	2240728	2244249	1	3
1	2242106	2245255	1	3
1	2244315	2247338	2	3
1	2245265	2249218	1	3
1	2247368	2251183	1	3
1	2249247	2251987	1	3
1	2252007	2253830	1	3
1	2252876	2254992	1	3
1	2253922	2257495	1	3
1	2253922	2257495	4	1
1	2255103	2258392	1	3
1	2257602	2259511	1	3
1	2257602	2259511	3	3
1	2258394	2260433	1	3
1	2258394	2260433	2	3
1	2259513	2262419	1	3
1	2259513	2262419	2	3
1	2259513	2262419	4	1
1	2260588	2264098	1	0
1	2260588	2264098	2	3
1	2263158	2264872	2	3
1	2264307	2265447	1	3
1	2264307	2265447	3	3
1	2265027	2266809	1	3
1	2265027	2266809	2	3
1	2266836	2270064	1	3
1	2268538	2271837	1	3
1	2270085	2274854	1	3
1	2271867	2276949	1	3
1	2274866	2278429	1	3
1	2276971	2281429	1	3
1	2281438	2285481	2	3
1	2282944	2287350	1	3
1	2285487	2289864	1	3
1	2285487	2289864	6	1
1	2287423	2291792	1	3
1	2289866	2294313	2	3
1	2291802	2296751	2	3
1	2291802	2296751	7	1
1	2294340	2297491	7	1
1	2307333	2314091	1	3
1	2311608	2315415	2	3
1	2314095	2317006	3	9
1	2315419	2318286	2	1
1	2320313	2325699	5	1
1	2322489	2327553	1	3
1	2325700	2329059	1	3
1	2327680	2331062	2	3
1	2329091	2334819	1	9
1	2331068	2341908	1	9
1	2341922	2346150	1	3
1	2350381	2354056	2	3
1	2361439	2363611	1	3
1	2362531	2370398	2	3
1	2363643	2375547	1	3
1	2375571	2380312	2	7
1	2378427	2381231	2	7
1	2380332	2383121	0	8
1	2385338	2387541	2	7
1	2385338	2387541	3	3
1	2386115	2389393	0	1
1	2386115	2389393	4	3
1	2386115	2389393	5	1
1	2387574	2391106	3	9
1	2387574	2391106	4	7
1	2389404	2392219	3	7
1	2392222	2394547	2	7
1	2393450	2396189	2	7
1	2394578	2402704	3	7
1	2396201	2404286	0	1
1	2396201	2404286	3	7
1	2402715	2405525	3	9
1	2402715	2405525	4	7
1	2404294	2406832	3	7
1	2404294	2406832	4	3
1	2404294	2406832	6	1
1	2405528	2532661	2	1
1	2406897	2559737	0	1
1	2532731	2563232	5	9
1	2563238	2567269	3	4
1	2564383	2569196	2	4
1	2567422	2570661	0	0
1	2569230	2572845	0	0
1	2572847	2579283	0	0
1	2577636	2581045	0	4
1	2580159	2582989	1	4
1	2581855	2584466	0	4
1	2581855	2584466	2	1
1	2583040	2585746	3	4
1	2584493	2587194	2	4
1	2585753	2589129	0	0
1	2587238	2591415	0	4
1	2589132	2592480	2	4
1	2591416	2594918	4	4
1	2592489	2596961	4	4
1	2594949	2598277	4	4
1	2598297	2601206	1	4
1	2599162	2602585	2	4
1	2601208	2603955	3	4
1	2602636	2605374	3	4
1	2603990	2606886	4	4
1	2605383	2608592	4	4
1	2606956	2610060	3	4
1	2608629	2612588	3	4
1	2610061	2615202	4	4
1	2612605	2635836	3	4
1	2635858	2644492	0	4
1	2642112	2646616	2	4
1	2644497	2647535	3	4
1	2646651	2648592	2	4
1	2647558	2649351	2	4
1	2648621	2650535	3	4
1	2649375	2651279	3	4
1	2650539	2652987	2	4
1	2651309	2655680	1	4
1	2653086	2657255	2	4
1	2655702	2658549	2	4
1	2657260	2659222	2	4
1	2658552	2661023	3	4
1	2659223	2662083	2	4
1	2661026	2663724	2	4
1	2662091	2666091	1	4
1	2663803	2667855	3	5
1	2666259	2669488	2	4
1	2667948	2671910	3	4
1	2669764	2674685	1	4
1	2669764	2674685	4	3
1	2672026	2676869	0	3
1	2672026	2676869	3	4
1	2674823	2677930	1	3
1	2674823	2677930	3	4
1	2676891	2678616	1	3
1	2676891	2678616	3	4
1	2677938	2681929	1	3
1	2677938	2681929	3	4
1	2678649	2683430	0	1
1	2678649	2683430	2	4
1	2682032	2685708	0	4
1	2683609	2689012	0	1
1	2683609	2689012	1	3
1	2685910	2689693	3	4
1	2685910	2689693	4	3
1	2689050	2690615	3	3
1	2689721	2691613	2	3
1	2690667	2693507	0	4
1	2690667	2693507	2	3
1	2691625	2695503	0	4
1	2693514	2697505	0	4
1	2695508	2698700	0	3
1	2695508	2698700	1	4
1	2697530	2700328	0	9
1	2697530	2700328	3	4
1	2698771	2703073	3	4
1	2700343	2705945	1	3
1	2700343	2705945	2	4
1	2703240	2707838	1	4
1	2706041	2708663	0	1
1	2706041	2708663	1	4
1	2708668	2711798	2	4
1	2710162	2713501	0	3
1	2710162	2713501	1	4
1	2711805	2715065	0	1
1	2713561	2716154	0	4
1	2716185	2720235	0	1
1	2717687	2722749	1	0
1	2720304	2724537	0	1
1	2722756	2726072	0	0
1	2724562	2726640	0	4
1	2724562	2726640	1	3
1	2726074	2728364	0	4
1	2726074	2728364	2	3
1	2726642	2730803	1	3
1	2726642	2730803	2	4
1	2728390	2742386	1	4
1	2728390	2742386	2	3
1	2730831	2744649	0	4
1	2730831	2744649	3	3
1	2742399	2746079	1	4
1	2742399	2746079	3	3
1	2744655	2748955	2	3
1	2744655	2748955	3	4
1	2746209	2751365	2	4
1	2746209	2751365	3	3
1	2746209	2751365	4	1
1	2748968	2758257	2	3
1	2748968	2758257	3	1
1	2751460	2758999	2	3
1	2758302	2760265	2	3
1	2759015	2762983	4	3
1	2760266	2766678	3	3
1	2763030	2767371	3	3
1	2763030	2767371	9	1
1	2766691	2768016	2	3
1	2766691	2768016	6	1
1	2767377	2771610	2	3
1	2768019	2773013	1	3
1	2768019	2773013	8	1
1	2773020	2780564	2	3
1	2780570	2792699	1	3
1	2788100	2795205	3	3
1	2788100	2795205	4	1
1	2792834	2797699	2	3
1	2795234	2798763	2	3
1	2797733	2801954	2	3
1	2801984	2805908	2	3
1	2803280	2806660	2	3
1	2805913	2807386	3	3
1	2806666	2810907	1	3
1	2807444	2812041	3	3
1	2810953	2813215	3	3
1	2812051	2813964	3	3
1	2813223	2814878	1	3
1	2813973	2830570	4	3
1	2814893	2832478	6	1
1	2830579	2835002	3	3
1	2832514	2835897	4	3
1	2836834	2839955	4	3
1	2837955	2840979	2	3
1	2841863	2844020	3	3
1	2842707	2846556	2	3
1	2844060	2847972	2	3
1	2846579	2849298	2	3
1	2847980	2851785	2	3
1	2847980	2851785	6	1
1	2849340	2853809	3	3
1	2852030	2856513	3	3
1	2853834	2858483	2	3
1	2856595	2862913	2	3
1	2858489	2865659	3	3
1	2862915	2868096	2	3
1	2865673	2868755	2	3
1	2868114	2870262	2	3
1	2868757	2872852	2	3
1	2870268	2875601	2	3
1	2877625	2880395	2	3
1	2886294	2889663	2	3
1	2888384	2892446	1	3
1	2888384	2892446	4	1
1	2889689	2894290	1	3
1	2889689	2894290	3	1
1	2892483	2898492	2	3
1	2894362	2902093	2	3
1	2894362	2902093	5	1
1	2898597	2904047	1	3
1	2898597	2904047	5	1
1	2902094	2907116	1	3
1	2902094	2907116	5	9
1	2904075	2920153	1	3
1	2904075	2920153	8	1
1	2907241	2921798	2	3
1	2907241	2921798	5	1
1	2920240	2924399	2	3
1	2921800	2926181	2	3
1	2924414	2929805	1	3
1	2926262	2931010	1	3
1	2929807	2933228	2	3
1	2931026	2934847	2	3
1	2933509	2935548	2	3
1	2935083	2936088	2	3
1	2935083	2936088	4	9
1	2935083	2936088	5	1
1	2935699	2936624	2	3
1	2935699	2936624	3	9
1	2936176	2949338	2	3
1	2936176	2949338	3	9
1	2936176	2949338	5	1
1	2936731	2949672	2	9
1	2936731	2949672	3	1
1	2936731	2949672	4	1
1	2949377	2950098	1	3
1	2949377	2950098	2	9
1	2949377	2950098	3	1
1	2949377	2950098	4	1
1	2949712	2951128	1	3
1	2949712	2951128	2	9
1	2949712	2951128	3	1
1	2949712	2951128	4	1
1	2950387	2952198	1	3
1	2950387	2952198	3	1
1	2951250	2952734	1	3
1	2951250	2952734	3	1
1	2952402	2953288	1	3
1	2952402	2953288	2	1
1	2953343	2955090	2	3
1	2954010	2955905	2	3
1	2955093	2959004	2	3
1	2955914	2960641	2	3
1	2955914	2960641	4	9
1	2955914	2960641	5	1
1	2959053	2963211	2	3
1	2959053	2963211	3	1
1	2959053	2963211	4	9
1	2960664	2966820	2	3
1	2963289	2967557	2	3
1	2963289	2967557	4	9
1	2966884	2968747	1	3
1	2967567	2969827	2	3
1	2968749	2972035	2	3
1	2968749	2972035	4	9
1	2969898	2972455	2	3
1	2969898	2972455	4	9
1	2972065	2974277	2	3
1	2972468	2976640	2	3
1	2974285	2979326	1	3
1	2976642	2981994	2	3
1	2976642	2981994	3	1
1	2979356	2983781	2	3
1	2981995	2985251	2	3
1	2983790	2986171	2	3
1	2983790	2986171	4	1
1	2985252	2988268	2	3
1	2986331	3001042	1	3
1	2988291	3004641	1	3
1	2988291	3004641	3	1
1	3001104	3007015	3	3
1	3004646	3015013	2	3
1	3007017	3016213	2	3
1	3015030	3019134	2	3
1	3016289	3024423	2	3
1	3019136	3027127	3	3
1	3024436	3029082	2	3
1	3027129	3030418	2	3
1	3027129	3030418	3	0
1	3029091	3033542	2	2
1	3029091	3033542	3	3
1	3030523	3035950	2	3
1	3033577	3038515	1	3
1	3033577	3038515	4	2
1	3036080	3041897	1	3
1	3038608	3044368	1	3
1	3044497	3048497	1	3
1	3046353	3049849	3	3
1	3048530	3051627	1	3
1	3048530	3051627	4	1
1	3049882	3053611	2	3
1	3049882	3053611	5	1
1	3051690	3054881	1	3
1	3051690	3054881	4	1
1	3054947	3058356	1	3
1	3056114	3076907	2	3
1	3056114	3076907	4	2
1	3058625	3082862	1	3
1	3078529	3084887	1	3
1	3078529	3084887	3	1
1	3082887	3086620	1	3
1	3084929	3088214	2	3
1	3088216	3090845	1	3
1	3089816	3093204	1	3
1	3089816	3093204	5	3
1	3090865	3094530	2	3
1	3093219	3095663	1	3
1	3094534	3096423	1	3
1	3094534	3096423	4	1
1	3095665	3098491	1	3
1	3095665	3098491	4	3
1	3096496	3101159	1	3
1	3098521	3105044	1	3
1	3101217	3107470	2	3
1	3105098	3109208	2	3
1	3107485	3110788	1	3
1	3109212	3113663	1	3
1	3110794	3114661	1	3
1	3113768	3122350	1	3
1	3122358	3125341	1	3
1	3123971	3127463	1	3
1	3125352	3129477	3	3
1	3127464	3130503	3	3
1	3129504	3131784	1	4
1	3129504	3131784	3	3
1	3129504	3131784	4	1
1	3130805	3132600	1	4
1	3130805	3132600	3	3
1	3131797	3135772	1	4
1	3131797	3135772	3	3
1	3131797	3135772	7	1
1	3132604	3136735	1	4
1	3132604	3136735	3	3
1	3132604	3136735	5	1
1	3135780	3137681	1	4
1	3135780	3137681	3	3
1	3135780	3137681	4	1
1	3136737	3138246	3	3
1	3137682	3140869	3	3
1	3137682	3140869	4	1
1	3138248	3182024	2	3
1	3182206	3184331	3	1
1	3184415	3186151	3	1
1	3185097	3204613	4	1
1	3283521	3284778	4	8
1	3290904	3294890	1	4
1	3291573	3298107	1	4
1	3308545	3312698	0	1
1	3312725	3314419	1	3
1	3313652	3315344	2	3
1	3315376	3317015	0	1
1	3316473	3317839	0	1
1	3321579	3324834	1	3
1	3323612	3326098	1	3
1	3324887	3327391	6	8
1	3327399	3330329	4	1
1	3336085	3338982	4	1
1	3338986	3345674	4	3
1	3343066	3347944	6	8
1	3352280	3357000	4	3
1	3352280	3357000	7	1
1	3354477	3358855	3	3
1	3354477	3358855	4	1
1	3358936	3360731	3	1
1	3362862	3366882	1	3
1	3362862	3366882	4	1
1	3368337	3374351	6	1
1	3378596	3383104	5	8
1	3383991	3389167	4	1
1	3386289	3392325	5	1
1	3403969	3406809	2	4
1	3405221	3407757	2	4
1	3407765	3412804	6	1
1	3409502	3414691	4	1
1	3426528	3429168	4	8
1	3427874	3431724	3	8
1	3435372	3445381	1	4
1	3440082	3447604	2	9
1	3445387	3448260	2	9
1	3445387	3448260	6	1
1	3447607	3449276	2	9
1	3447607	3449276	6	1
1	3448266	3450997	2	9
1	3449278	3452039	0	9
1	3449278	3452039	4	8
1	3451027	3454102	1	9
1	3452053	3457081	1	9
1	3454134	3459327	1	9
1	3454134	3459327	4	8
1	3457135	3462380	1	9
1	3457135	3462380	4	8
1	3459351	3465333	1	9
1	3462389	3466210	2	9
1	3465340	3466660	1	6
1	3466663	3469807	2	9
1	3466663	3469807	5	8
1	3467053	3470766	2	9
1	3469808	3472814	1	9
1	3470791	3474717	0	3
1	3472821	3476051	0	9
1	3474718	3479232	1	3
1	3476066	3480800	1	3
1	3479235	3482025	1	3
1	3479235	3482025	2	1
1	3480807	3484639	1	9
1	3482036	3487394	1	3
1	3484699	3488942	1	9
1	3487400	3492131	1	9
1	3489074	3492889	1	3
1	3492136	3494511	1	3
1	3492913	3496117	1	3
1	3494527	3500078	1	3
1	3496141	3503639	0	3
1	3500090	3506658	0	3
1	3503645	3507431	1	3
1	3506663	3509518	2	3
1	3506663	3509518	5	1
1	3507440	3512904	2	3
1	3509521	3514620	0	3
1	3512933	3517480	0	3
1	3514628	3521184	2	3
1	3517579	3524028	1	3
1	3521211	3526274	1	3
1	3524120	3528954	1	3
1	3526275	3531466	1	3
1	3528959	3535172	1	2
1	3531467	3537153	0	2
1	3537280	3541196	1	2
1	3538786	3541796	1	2
1	3541230	3542487	1	9
1	3541848	3543629	1	2
1	3542557	3544698	1	2
1	3543632	3546934	1	2
1	3544705	3547906	1	1
1	3546936	3550482	1	1
1	3547914	3553884	1	2
1	3550497	3556652	1	2
1	3553886	3559177	1	2
1	3556661	3561572	1	2
1	3559207	3564029	1	2
1	3561662	3567434	1	2
1	3564040	3570018	1	2
1	3567455	3573229	1	2
1	3570020	3577620	1	2
1	3573242	3578819	1	1
1	3577667	3580368	0	9
1	3578824	3581837	0	1
1	3583742	3588752	1	9
1	3586536	3589905	1	9
1	3588758	3591548	1	1
1	3589906	3592888	1	1
1	3591554	3594582	1	2
1	3591554	3594582	2	7
1	3592897	3598637	1	2
1	3598743	3600787	1	9
1	3598743	3600787	6	1
1	3599618	3601515	1	9
1	3600790	3603517	1	9
1	3601524	3605282	1	9
1	3603558	3606962	1	9
1	3603558	3606962	3	7
1	3605300	3608189	1	9
1	3606963	3611002	1	2
1	3606963	3611002	4	1
1	3608204	3614103	1	2
1	3611238	3617529	1	2
1	3614109	3620584	1	2
1	3617663	3622314	1	2
1	3622317	3623305	1	2
1	3622775	3625368	1	2
1	3622775	3625368	2	4
1	3623314	3631616	1	2
1	3629480	3633146	1	2
1	3631624	3633997	0	1
1	3633147	3636178	1	2
1	3634001	3637208	1	2
1	3636188	3641211	1	1
1	3637232	3645032	0	1
1	3641223	3647721	1	2
1	3645054	3650594	1	1
1	3647768	3654164	1	1
1	3650637	3657132	1	2
1	3650637	3657132	4	1
1	3654165	3661766	1	2
1	3657169	3664262	1	2
1	3661773	3666954	1	2
1	3664325	3667992	1	2
1	3666972	3669584	1	2
1	3667994	3671619	1	2
1	3669599	3674304	1	1
1	3671673	3676743	1	4
1	3671673	3676743	2	3
1	3674326	3680220	2	4
1	3674326	3680220	3	3
1	3676748	3682866	2	4
1	3676748	3682866	3	3
1	3680649	3686063	2	4
1	3680649	3686063	3	3
1	3683013	3689814	2	3
1	3683013	3689814	3	4
1	3686072	3691750	2	4
1	3686072	3691750	3	3
1	3689850	3693588	1	1
1	3689850	3693588	5	1
1	3691763	3696659	1	1
1	3693594	3698735	1	1
1	3696690	3700756	1	9
1	3698740	3702535	2	4
1	3698740	3702535	3	3
1	3700846	3706703	0	1
1	3702581	3708920	2	4
1	3702581	3708920	3	3
1	3706731	3710114	1	4
1	3706731	3710114	2	3
1	3708924	3713009	2	4
1	3708924	3713009	4	3
1	3710192	3715683	1	1
1	3713045	3716884	1	1
1	3713045	3716884	6	1
1	3715685	3719151	1	1
1	3716888	3721686	1	1
1	3719153	3725166	1	4
1	3719153	3725166	2	3
1	3721716	3726149	0	1
1	3721716	3726149	2	7
1	3725175	3726700	1	3
1	3725175	3726700	2	4
1	3726154	3727204	1	1
1	3726703	3728387	1	4
1	3726703	3728387	2	3
1	3727210	3729874	1	4
1	3727210	3729874	2	3
1	3728389	3731136	1	4
1	3728389	3731136	2	3
1	3728389	3731136	6	1
1	3729875	3733720	1	4
1	3729875	3733720	3	3
1	3731144	3735126	1	4
1	3731144	3735126	2	1
1	3731144	3735126	3	3
1	3733726	3736715	1	4
1	3733726	3736715	2	3
1	3735131	3738089	1	1
1	3736724	3740302	1	1
1	3738126	3742275	2	4
1	3738126	3742275	3	3
1	3740322	3743633	1	3
1	3740322	3743633	2	4
1	3742276	3745993	1	3
1	3743637	3746542	1	1
1	3745997	3747764	1	4
1	3745997	3747764	2	3
1	3746547	3760039	0	1
1	3746547	3760039	1	4
1	3747774	3764769	0	1
1	3764799	3771408	1	4
1	3769408	3777866	1	4
1	3771439	3780040	0	9
1	3771439	3780040	1	4
1	3777895	3782631	1	4
1	3777895	3782631	2	3
1	3780043	3784168	1	1
1	3782727	3786463	0	9
1	3784175	3787999	0	9
1	3784175	3787999	1	4
1	3786471	3789382	1	4
1	3786471	3789382	2	3
1	3788015	3795330	1	4
1	3788015	3795330	2	3
1	3789460	3797142	1	4
1	3789460	3797142	2	3
1	3795388	3805504	1	4
1	3795388	3805504	5	1
1	3795388	3805504	7	1
1	3797151	3805963	1	1
1	3797151	3805963	6	1
1	3797151	3805963	7	1
1	3797151	3805963	8	1
1	3805525	3806396	1	1
1	3805525	3806396	3	7
1	3805970	3806805	1	1
1	3805970	3806805	3	7
1	3806398	3807407	1	1
1	3806809	3808153	1	1
1	3806809	3808153	6	1
1	3806809	3808153	7	1
1	3807417	3808725	1	1
1	3807417	3808725	6	1
1	3808156	3809696	1	1
1	3808156	3809696	6	1
1	3808156	3809696	7	1
1	3808740	3810839	0	1
1	3809709	3815661	1	1
1	3809709	3815661	5	7
1	3810874	3818697	1	1
1	3810874	3818697	5	7
1	3815663	3821102	1	1
1	3815663	3821102	3	7
1	3818699	3822914	1	4
1	3818699	3822914	2	3
1	3821104	3825340	1	1
1	3821104	3825340	3	7
1	3822915	3826197	1	4
1	3822915	3826197	2	3
1	3822915	3826197	3	7
1	3825403	3827773	1	1
1	3825403	3827773	3	7
1	3826199	3830054	1	1
1	3827789	3832797	1	1
1	3830079	3835662	1	4
1	3830079	3835662	4	3
